Sentence #	Word	Pos	Tag
Sentence 1	Interesante	ADJ	O
Sentence 1	será	VLfin	O
Sentence 1	conocer	VLinf	O
Sentence 1	las	ART	O
Sentence 1	reflexiones	NC	O
Sentence 1	de	PREP	O
Sentence 1	Pedro	NP	B-PER
Sentence 1	Kumamoto	NC	E-PER
Sentence 1	en	PREP	O
Sentence 1	torno	NC	O
Sentence 1	a	PREP	O
Sentence 1	este	DM	O
Sentence 1	fracaso	NC	O
Sentence 1	,	CM	O
Sentence 1	por	PREP	O
Sentence 1	el	ART	O
Sentence 1	momento	NC	O
Sentence 1	lo	ART	O
Sentence 1	único	NC	O
Sentence 1	que	CQUE	O
Sentence 1	ha	VHfin	O
Sentence 1	dicho	QU	O
Sentence 1	es	VSfin	O
Sentence 1	que	CQUE	O
Sentence 1	al	PAL	O
Sentence 1	interior	NC	O
Sentence 1	de	PREP	O
Sentence 1	su	PPO	O
Sentence 1	grupo	NC	O
Sentence 1	existen	VLfin	O
Sentence 1	dos	CARD	O
Sentence 1	planteamientos	NC	O
Sentence 1	,	CM	O
Sentence 1	uno	CARD	O
Sentence 1	seguir	VLinf	O
Sentence 1	por	PREP	O
Sentence 1	la	ART	O
Sentence 1	ruta	NC	O
Sentence 1	independiente	ADJ	O
Sentence 1	,	CM	O
Sentence 1	el	ART	O
Sentence 1	otro	QU	O
Sentence 1	destaca	VLfin	O
Sentence 1	las	ART	O
Sentence 1	bondades	NC	O
Sentence 1	de	CSUBI	O
Sentence 1	fundar	VLinf	O
Sentence 1	una	ART	O
Sentence 1	agrupación	NC	O
Sentence 1	o	CC	O
Sentence 1	un	ART	O
Sentence 1	partido	NC	O
Sentence 1	político	ADJ	O
Sentence 1	.	FS	O

Sentence 2	El	ART	O
Sentence 2	ministro	NC	B-TIT
Sentence 2	presidente	NC	E-TIT
Sentence 2	explicó	VLfin	O
Sentence 2	que	CQUE	O
Sentence 2	la	ART	O
Sentence 2	independencia	NC	O
Sentence 2	del	PDEL	O
Sentence 2	Poder	NC	B-ORG
Sentence 2	Judicial	NP	E-ORG
Sentence 2	garantiza	VLfin	O
Sentence 2	el	ART	O
Sentence 2	equilibrio	NC	O
Sentence 2	de	PREP	O
Sentence 2	los	ART	O
Sentence 2	poderes	NC	O
Sentence 2	,	CM	O
Sentence 2	la	ART	O
Sentence 2	defensa	NC	O
Sentence 2	de	PREP	O
Sentence 2	la	ART	O
Sentence 2	Constitución	NP	O
Sentence 2	frente	NC	O
Sentence 2	a	PREP	O
Sentence 2	las	ART	O
Sentence 2	arbitrariedades	NC	O
Sentence 2	y	CC	O
Sentence 2	un	ART	O
Sentence 2	freno	NC	O
Sentence 2	ante	PREP	O
Sentence 2	los	ART	O
Sentence 2	atropellos	NC	O
Sentence 2	de	PREP	O
Sentence 2	las	ART	O
Sentence 2	mayorías	NC	O
Sentence 2	hacia	PREP	O
Sentence 2	las	ART	O
Sentence 2	minorías	NC	O
Sentence 2	.	FS	O

Sentence 3	Por	PREP	O
Sentence 3	lo	ART	O
Sentence 3	cual	REL	O
Sentence 3	y	CC	O
Sentence 3	a	PREP	O
Sentence 3	petición	NC	O
Sentence 3	del	PDEL	O
Sentence 3	representante	NC	O
Sentence 3	del	PDEL	O
Sentence 3	candidato	ADJ	B-TIT
Sentence 3	independiente	ADJ	E-TIT
Sentence 3	Armando	VLger	B-PER
Sentence 3	Cabada	NP	E-PER
Sentence 3	,	CM	O
Sentence 3	Agustin	NP	B-PER
Sentence 3	Cerón	NP	E-PER
Sentence 3	,	CM	O
Sentence 3	se	SE	O
Sentence 3	procederá	VLfin	O
Sentence 3	al	PAL	O
Sentence 3	recuento	NC	O
Sentence 3	voto	NC	O
Sentence 3	por	PREP	O
Sentence 3	voto	NC	O
Sentence 3	de	PREP	O
Sentence 3	378	CARD	O
Sentence 3	paquetes	NC	O
Sentence 3	electorales	ADJ	O
Sentence 3	que	CQUE	O
Sentence 3	se	SE	O
Sentence 3	quedaron	VLfin	O
Sentence 3	pendientes	VLadj	O
Sentence 3	de	PREP	O
Sentence 3	un	ART	O
Sentence 3	total	ADJ	O
Sentence 3	de	PREP	O
Sentence 3	mil	CARD	O
Sentence 3	992	CARD	O
Sentence 3	.	FS	O

Sentence 4	No	NEG	O
Sentence 4	los	PPC	O
Sentence 4	podemos	VLfin	O
Sentence 4	premiar	VLinf	O
Sentence 4	.	FS	O

Sentence 5	Por	PREP	O
Sentence 5	su	PPO	O
Sentence 5	parte	NC	O
Sentence 5	,	CM	O
Sentence 5	gracias	NC	O
Sentence 5	a	PREP	O
Sentence 5	su	PPO	O
Sentence 5	talento	NC	O
Sentence 5	y	CC	O
Sentence 5	amplia	ADJ	O
Sentence 5	experiencia	NC	O
Sentence 5	en	PREP	O
Sentence 5	el	ART	O
Sentence 5	sector	NC	O
Sentence 5	financiero	ADJ	O
Sentence 5	,	CM	O
Sentence 5	Andrés	NP	B-PER
Sentence 5	Aymes	NP	E-PER
Sentence 5	ha	VHfin	O
Sentence 5	logrado	VLadj	O
Sentence 5	tener	VLinf	O
Sentence 5	una	ART	O
Sentence 5	carrera	NC	O
Sentence 5	exitosa	ADJ	O
Sentence 5	.	FS	O

Sentence 6	Zepeda	NP	S-PER
Sentence 6	resaltó	VLfin	O
Sentence 6	,	CM	O
Sentence 6	a	PREP	O
Sentence 6	través	NC	O
Sentence 6	de	PREP	O
Sentence 6	un	ART	O
Sentence 6	comunicado	VLadj	O
Sentence 6	,	CM	O
Sentence 6	que	CQUE	O
Sentence 6	la	ART	O
Sentence 6	figura	NC	O
Sentence 6	de	PREP	O
Sentence 6	los	ART	O
Sentence 6	coordinadores	NC	O
Sentence 6	estatales	ADJ	O
Sentence 6	de	PREP	O
Sentence 6	programas	NC	O
Sentence 6	de	PREP	O
Sentence 6	desarrollo	NC	O
Sentence 6	es	VSfin	O
Sentence 6	la	ART	O
Sentence 6	de	PREP	O
Sentence 6	un	ART	O
Sentence 6	operador	NC	O
Sentence 6	político	ADJ	O
Sentence 6	,	CM	O
Sentence 6	amén	ADV	O
Sentence 6	de	PREP	O
Sentence 6	que	CQUE	O
Sentence 6	se	SE	O
Sentence 6	dice	VLfin	O
Sentence 6	que	CQUE	O
Sentence 6	al	PAL	O
Sentence 6	frente	NC	O
Sentence 6	de	PREP	O
Sentence 6	todos	QU	O
Sentence 6	ellos	PPX	O
Sentence 6	estará	VLfin	O
Sentence 6	Gabriel	NP	B-PER
Sentence 6	García	NP	I-PER
Sentence 6	Hernández	NP	E-PER
Sentence 6	,	CM	O
Sentence 6	quien	REL	O
Sentence 6	es	VSfin	O
Sentence 6	el	ART	O
Sentence 6	Secretario	NP	S-TIT
Sentence 6	de	PREP	O
Sentence 6	Organización	NP	O
Sentence 6	de	PREP	O
Sentence 6	Morena	NP	S-PEX
Sentence 6	.	FS	O

Sentence 7	Día	NP	O
Sentence 7	Día	ADJ	O
Sentence 7	Avance	NC	O
Sentence 7	Tabasco	NP	S-GPE
Sentence 7	Informa	NC	O
Sentence 7	.	FS	O

Sentence 8	Preguntamos	VLfin	O
Sentence 8	a	PREP	O
Sentence 8	especialistas	NC	O
Sentence 8	si	CSUBX	O
Sentence 8	son	VSfin	O
Sentence 8	viables	ADJ	O
Sentence 8	.	FS	O

Sentence 9	“	NC	O
Sentence 9	Yo	PPX	O
Sentence 9	tengo	VLfin	O
Sentence 9	plena	ADJ	O
Sentence 9	confianza	NC	O
Sentence 9	en	PREP	O
Sentence 9	que	CQUE	O
Sentence 9	esta	DM	O
Sentence 9	jornada	NC	O
Sentence 9	fue	VSfin	O
