Sentence #	Word	Pos	Tag
Sentence 1	28	CARD	O
Sentence 1	C	ALFS	O
Sentence 1	28	CARD	O
Sentence 1	1	CARD	O
Sentence 1	México	NP	S-GPE
Sentence 1	DF	NP	S-GPE
Sentence 1	Viernes	NP	S-DAT
Sentence 1	,	CM	O
Sentence 1	22	CARD	O
Sentence 1	Precio	NC	O
Sentence 1	Del	PDEL	O
Sentence 1	Dólar	NC	O
Sentence 1	Hoy	ADV	O
Sentence 1	Dólar	ADJ	B-MNY
Sentence 1	19.30	CARD	E-MNY
Sentence 1	Euro	NP	B-MNY
Sentence 1	22.61	CARD	E-MNY
Sentence 1	Viernes	NP	S-DAT
Sentence 1	Hoy	ADV	O
Sentence 1	no	NEG	O
Sentence 1	circula	VLfin	O
Sentence 1	9	CARD	O
Sentence 1	y	CC	O
Sentence 1	0	CARD	O
Sentence 1	Holograma	NC	O
Sentence 1	9	CARD	O
Sentence 1	y	CC	O
Sentence 1	0	CARD	O
Sentence 1	México	NC	S-GPE
Sentence 1	y	CC	O
Sentence 1	EU	NC	S-GPE
Sentence 1	socios	NC	O
Sentence 1	,	CM	O
Sentence 1	aliados	ADJ	O
Sentence 1	y	CC	O
Sentence 1	amigos	ADJ	O
Sentence 1	,	CM	O
Sentence 1	destaca	VLfin	O
Sentence 1	Pompeo	NP	S-PER
Sentence 1	Manifestó	NP	O
Sentence 1	la	ART	O
Sentence 1	disposición	NC	O
Sentence 1	del	PDEL	O
Sentence 1	gobierno	NC	O
Sentence 1	de	PREP	O
Sentence 1	su	PPO	O
Sentence 1	país	NC	O
Sentence 1	para	CSUBI	O
Sentence 1	mantener	VLinf	O
Sentence 1	el	ART	O
Sentence 1	diálogo	NC	O
Sentence 1	y	CC	O
Sentence 1	colaboración	NC	O
Sentence 1	con	PREP	O
Sentence 1	la	ART	O
Sentence 1	administración	NC	O
Sentence 1	del	PDEL	O
Sentence 1	presidente	NC	S-TIT
Sentence 1	Peña	ADJ	B-PER
Sentence 1	Nieto	NC	E-PER
Sentence 1	13	CARD	B-DAT
Sentence 1	de	PREP	I-DAT
Sentence 1	julio	NC	E-DAT
Sentence 1	,	CM	O
Sentence 1	2018	CARD	S-DAT
Sentence 1	Notimex	NC	S-ORG
Sentence 1	Foto	NP	O
Sentence 1	:	COLON	O
Sentence 1	Reuters	NC	S-ORG
Sentence 1	Destacó	VLfin	O
Sentence 1	el	ART	O
Sentence 1	compromiso	NC	O
Sentence 1	de	PREP	O
Sentence 1	México	NC	S-GPE
Sentence 1	con	PREP	O
Sentence 1	la	ART	O
Sentence 1	democracia	NC	O
Sentence 1	,	CM	O
Sentence 1	y	CC	O
Sentence 1	señaló	VLfin	O
Sentence 1	que	CQUE	O
Sentence 1	espera	VLfin	O
Sentence 1	seguir	VLinf	O
Sentence 1	trabajando	VLger	O
Sentence 1	con	PREP	O
Sentence 1	el	ART	O
Sentence 1	candidato	ADJ	O
Sentence 1	ganador	NC	O
Sentence 1	de	PREP	O
Sentence 1	los	ART	O
Sentence 1	comicios	NC	O
Sentence 1	presidenciales	ADJ	O
Sentence 1	,	CM	O
Sentence 1	Relacionadas	NC	O
Sentence 1	13	CARD	B-DAT
Sentence 1	de	PREP	I-DAT
Sentence 1	julio	NC	E-DAT
Sentence 1	,	CM	O
Sentence 1	2018	CARD	S-DAT
Sentence 1	13	CARD	B-DAT
Sentence 1	de	PREP	I-DAT
Sentence 1	julio	NC	E-DAT
Sentence 1	,	CM	O
Sentence 1	2018	CARD	S-DAT
Sentence 1	13	CARD	B-DAT
Sentence 1	de	PREP	I-DAT
Sentence 1	julio	NC	E-DAT
Sentence 1	,	CM	O
Sentence 1	2018	CARD	S-DAT
Sentence 1	Compartir	NC	O
Sentence 1	El	ART	O
Sentence 1	secretario	NC	B-TIT
Sentence 1	de	PREP	I-TIT
Sentence 1	Estado	NC	I-TIT
Sentence 1	de	PREP	I-TIT
Sentence 1	Estados	NC	I-TIT
Sentence 1	Unidos	NP	E-TIT
Sentence 1	,	CM	O
Sentence 1	Michael	NP	B-PER
Sentence 1	Pompeo	NP	E-PER
Sentence 1	,	CM	O
Sentence 1	destacó	VLfin	O
Sentence 1	que	CQUE	O
Sentence 1	los	ART	O
Sentence 1	encuentros	NC	O
Sentence 1	que	CQUE	O
Sentence 1	sostuvo	VLfin	O
Sentence 1	con	PREP	O
Sentence 1	el	ART	O
Sentence 1	presidente	NC	B-TIT
Sentence 1	de	PREP	I-TIT
Sentence 1	México	NP	E-TIT
Sentence 1	,	CM	O
Sentence 1	Enrique	NP	B-PER
Sentence 1	Peña	ADJ	I-PER
Sentence 1	Nieto	NC	E-PER
Sentence 1	,	CM	O
Sentence 1	y	CC	O
Sentence 1	el	ART	O
Sentence 1	candidato	ADJ	O
Sentence 1	ganador	NC	O
Sentence 1	de	PREP	O
Sentence 1	la	ART	O
Sentence 1	elección	NC	B-EVT
Sentence 1	presidencial	ADJ	E-EVT
Sentence 1	,	CM	O
Sentence 1	,	CM	O
Sentence 1	ratifican	VLfin	O
Sentence 1	que	CQUE	O
Sentence 1	ambos	QU	O
Sentence 1	países	NC	O
Sentence 1	son	VSfin	O
Sentence 1	aliados	ADJ	O
Sentence 1	,	CM	O
Sentence 1	socios	NC	O
Sentence 1	y	CC	O
Sentence 1	amigos	NC	O
Sentence 1	.	FS	O

Sentence 2	Esta	DM	O
Sentence 2	primera	ORD	O
Sentence 2	entrega	NC	O
Sentence 2	se	SE	O
Sentence 2	centra	VLfin	O
Sentence 2	en	PREP	O
Sentence 2	las	ART	O
Sentence 2	realizadas	VLadj	O
Sentence 2	por	PREP	O
Sentence 2	López	NC	B-PER
Sentence 2	Obrador	ADJ	E-PER
Sentence 2	.	FS	O

Sentence 3	CP	NP	B-ADD
Sentence 3	78230	CODE	E-ADD
Sentence 3	Teléfono	NC	O
Sentence 3	de	PREP	O
Sentence 3	contacto	NC	O
Sentence 3	:	COLON	O
Sentence 3	(	LP	O
Sentence 3	444	CODE	O
Sentence 3	)	RP	O
Sentence 3	8250515	CODE	O
Sentence 3	¿Platicamos	NC	O
Sentence 3	en	ADJ	O
Sentence 3	redes	PREP	O
Sentence 3	?	NC	O

Sentence 4	hace	VLfin	O
Sentence 4	8	CARD	B-TIM
Sentence 4	horas	NC	E-TIM
Sentence 4	Mensaje	NC	O
Sentence 4	de	PREP	O
Sentence 4	los	ART	O
Sentence 4	pobladores	NC	O
Sentence 4	de	PREP	O
Sentence 4	Atenco	NC	S-GPE
Sentence 4	Exigen	VLfin	O
Sentence 4	que	CQUE	O
Sentence 4	para	PREP	O
Sentence 4	cualquier	QU	O
Sentence 4	tipo	NC	O
Sentence 4	de	PREP	O
Sentence 4	construcción	NC	O
Sentence 4	,	CM	O
Sentence 4	los	ART	O
Sentence 4	pueblos	NC	O
Sentence 4	deben	VMfin	O
Sentence 4	ser	VSinf	O
Sentence 4	consultados	VLadj	O
Sentence 4	,	CM	O
Sentence 4	porque	CSUBX	O
Sentence 4	ellos	PPX	O
Sentence 4	son	VSfin	O
Sentence 4	los	ART	O
Sentence 4	guardianes	NC	O
Sentence 4	de	PREP	O
Sentence 4	la	ART	O
Sentence 4	tierra	NC	O
Sentence 4	.	FS	O

Sentence 5	Sin	PREP	O
Sentence 5	embargo	NC	O
Sentence 5	el	ART	O
Sentence 5	caso	NC	O
Sentence 5	de	PREP	O
Sentence 5	Kumamoto	NC	S-PER
Sentence 5	era	VSfin	O
Sentence 5	distinto	ADJ	O
Sentence 5	debido	VMadj	O
Sentence 5	a	PREP	O
Sentence 5	su	PPO	O
Sentence 5	enorme	ADJ	O
Sentence 5	capital	NC	O
Sentence 5	político	ADJ	O
Sentence 5	acumulado	VLadj	O
Sentence 5	a	PREP	O
Sentence 5	raíz	NC	O
Sentence 5	de	PREP	O
Sentence 5	su	PPO	O
Sentence 5	triunfo	NC	O
Sentence 5	como	CSUBX	O
Sentence 5	diputado	NC	B-TIT
Sentence 5	local	ADJ	E-TIT
Sentence 5	por	PREP	O
Sentence 5	el	ART	O
Sentence 5	distrito	NC	O
Sentence 5	10	CODE	O
Sentence 5	de	PREP	O
Sentence 5	Jalisco	NP	S-GPE
Sentence 5	en	PREP	O
Sentence 5	el	ART	O
